,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,4.20399445343136,0.018326530035865318,229.39391391627734,0.0,4.168075114599472,4.2399137922632475
C(block)[T.2],0.14248849999353352,0.024049888492017855,5.924705224343364,3.1285807813061795e-09,0.09535158471697422,0.18962541527009283
C(block)[T.3],0.20774496960697847,0.027274953229016304,7.616693889908129,2.602555412470446e-14,0.15428704359809206,0.26120289561586485
C(block)[T.4],0.2667672904509252,0.028422494223515764,9.385780443934838,6.245219469755139e-21,0.21106022542203656,0.3224743554798138
C(block)[T.5],0.343464885595967,0.030926979976544044,11.10567167749522,1.1772883655692152e-28,0.28284911869134927,0.4040806525005847
C(block)[T.6],0.3639254587004516,0.03388892145391589,10.738773707960533,6.69274334803725e-27,0.2975043931758697,0.43034652422503356
C(block)[T.7],0.45387743681411374,0.0377077086023392,12.036728129005363,2.278130475256961e-33,0.3799716860139977,0.5277831876142297
C(block)[T.8],0.4960140058910507,0.04362984554547724,11.368685808755254,5.9882387028435074e-30,0.41050107997087004,0.5815269318112314
C(block)[T.9],0.5083808742571032,0.051927806905002545,9.790147217022708,1.2411504349317104e-22,0.4066042429271479,0.6101575055870585
C(block)[T.10],0.5646816118126143,0.07592327238720217,7.437529943819947,1.025853352406628e-13,0.4158747323452737,0.713488491279955
treat,0.21266878570983128,0.0115137804610535,18.470804305258767,3.5475904358864636e-76,0.19010219068026543,0.23523538073939712
baseline_activity,0.05615924224680492,0.013529483637111327,4.150878463148461,3.312016137428304e-05,0.02964194158864274,0.0826765429049671
pre_metric,-0.00043896530641679594,0.011245478482541814,-0.03903482693940264,0.9688626218812724,-0.022479698121118892,0.021601767508285297
